ticker,Year,Percentage of Recurrence,Trapping Time,Laminarity,Recurrence Rate,Divergence,Max Vertical Length,Entropy of Vertical Structures,Mean Recurrence Time,Recurrence Time Entropy,Num Most Probable Recurrence Time
GAS-USD,2021,422.2025284,365,0.002739726,3.17E-05,0.002739726,4060.254445,18.55316558,4.222025284,18.55316558,107
GAS-USD,2022,134.0482755,365,0.002739726,1.01E-05,0.002739726,1040.907515,7.459495168,1.340482755,7.459495168,90
GAS-USD,2023,206.5564419,365,0.002739726,1.55E-05,0.002739726,6940.134521,10.21501555,2.065564419,10.21501555,313
GAS-USD,2024,41.39410761,60,0.016666667,0.000115016,0.016666667,58.15193176,2.041552374,0.413941076,2.041552374,17
SKL-USD,2020,2.27280428,30,0.033333333,2.53E-05,0.033333333,1.284707144,0.162470923,0.022728043,0.162470923,2
SKL-USD,2021,18.25103477,365,0.002739726,1.37E-06,0.002739726,193.8004983,1.372178307,0.182510348,1.372178307,70
SKL-USD,2022,6.345416624,365,0.002739726,4.76E-07,0.002739726,79.59503981,0.545430148,0.063454166,0.545430148,90
SKL-USD,2023,1.195415858,365,0.002739726,8.97E-08,0.002739726,17.56913181,0.12269218,0.011954159,0.12269218,360
SKL-USD,2024,0.964310332,60,0.016666667,2.68E-06,0.016666667,1.025100157,0.083985898,0.009643103,0.083985898,9
WKAVA-USD,2023,390.260043,277,0.003610108,5.09E-05,0.003610108,3925.168032,16.12965465,3.90260043,16.12965465,158
WKAVA-USD,2024,5.665103164,60,0.016666667,1.57E-05,0.016666667,10.3895458,0.390039428,0.056651032,0.390039428,1
ZEC-USD,2017,13137.06425,53,0.018867925,0.046784417,0.018867925,14886.00998,-125.7159432,131.3706425,-125.7159432,41
ZEC-USD,2018,15286.91516,365,0.002739726,0.00114746,0.002739726,237939.8999,118.9875095,152.8691516,118.9875095,6
ZEC-USD,2019,2255.245345,365,0.002739726,0.000169282,0.002739726,21055.12171,61.29577368,22.55245345,61.29577368,179
ZEC-USD,2020,1675.447145,366,0.00273224,0.000125075,0.00273224,14244.84685,50.75873624,16.75447145,50.75873624,217
ZEC-USD,2021,5382.701287,365,0.002739726,0.000404034,0.002739726,61403.62794,98.35999594,53.82701287,98.35999594,126
ZEC-USD,2022,4677.984319,365,0.002739726,0.000351137,0.002739726,44676.19362,93.73336386,46.77984319,93.73336386,85
ZEC-USD,2023,747.4266707,365,0.002739726,5.61E-05,0.002739726,6240.264189,28.68597588,7.474266707,28.68597588,50
ZEC-USD,2024,263.3039396,60,0.016666667,0.000731603,0.016666667,318.8845329,8.071298553,2.633039396,8.071298553,57
USDP-USD,2018,0.671862736,96,0.010416667,7.29E-07,0.010416667,2.515411615,0.063717607,0.006718627,0.063717607,38
USDP-USD,2019,0.630888473,365,0.002739726,4.74E-08,0.002739726,6.521093011,0.068860446,0.006308885,0.068860446,159
USDP-USD,2020,0.376992371,366,0.00273224,2.81E-08,0.00273224,17.32962954,0.042608516,0.003769924,0.042608516,71
USDP-USD,2021,0.141075979,365,0.002739726,1.06E-08,0.002739726,3.728210986,0.017331758,0.00141076,0.017331758,106
USDP-USD,2022,0.248936046,365,0.002739726,1.87E-08,0.002739726,2.540721834,0.029450146,0.00248936,0.029450146,332
USDP-USD,2023,0.372235016,365,0.002739726,2.79E-08,0.002739726,3.890571535,0.04259513,0.00372235,0.04259513,183
USDP-USD,2024,0.138423128,60,0.016666667,3.85E-07,0.016666667,0.396569431,0.014413559,0.001384231,0.014413559,22
AGIX-USD,2018,15.95518073,347,0.002881844,1.33E-06,0.002881844,470.4662888,1.193248372,0.159551807,1.193248372,0
AGIX-USD,2019,1.377090794,365,0.002739726,1.03E-07,0.002739726,9.425202945,0.140032723,0.013770908,0.140032723,149
AGIX-USD,2020,1.915742786,366,0.00273224,1.43E-07,0.00273224,15.52237102,0.188084203,0.019157428,0.188084203,258
AGIX-USD,2021,12.44711462,365,0.002739726,9.34E-07,0.002739726,136.849153,0.986450756,0.124471146,0.986450756,247
AGIX-USD,2022,4.710772764,365,0.002739726,3.54E-07,0.002739726,48.7970578,0.418283785,0.047107728,0.418283785,0
AGIX-USD,2023,11.27932641,365,0.002739726,8.47E-07,0.002739726,113.6235861,0.90511415,0.112793264,0.90511415,37
AGIX-USD,2024,14.45686499,60,0.016666667,4.02E-05,0.016666667,23.54037219,0.847098832,0.14456865,0.847098832,55
CELO-USD,2020,57.48725221,224,0.004464286,1.15E-05,0.004464286,544.7917772,3.340067264,0.574872522,3.340067264,96
